z,n,name,decayModes,abundance
0,1,Neutron,B- = 100.00,NaN
1,0,1H,NaN,99.9885%
1,1,2H,NaN,0.0115%
1,2,3H,B- = 100.00,NaN
1,3,4H,N = 100.00,NaN
1,4,5H,2N = 100.00,NaN
1,5,6H,N = 100.00,NaN
1,6,7H,2N?  ,NaN
2,1,3He,NaN,0.000134%
2,2,4He,NaN,99.999866%
2,3,5He,A = 100.00,NaN
2,3,5He,N = 100.00,NaN
2,4,6He,B- = 100.00,NaN
2,5,7He,N  ,NaN
2,6,8He,B- = 100.,NaN
2,6,8He,BN = 16.,NaN
2,7,9He,N = 100.00,NaN
2,8,10He,N = 100.00,NaN
3,0,3Li,P ? ,NaN
3,1,4Li,P = 100.00,NaN
3,2,5Li,A = 100.00,NaN
3,2,5Li,P = 100.00,NaN
3,3,6Li,NaN,7.59%
3,4,7Li,NaN,92.41%
3,5,8Li,B- = 100.00,NaN
3,5,8Li,BA = 100.00,NaN
3,6,9Li,B- = 100.00,NaN
3,6,9Li,BN ? 50.00,NaN
3,7,10Li,N = 100.00,NaN
3,8,11Li,B- = 100.00,NaN
3,8,11Li,BN = 86.60,NaN
3,8,11Li,B2N = 4.20,NaN
3,8,11Li,B3N = 1.90,NaN
3,8,11Li,BNA = 0.03,NaN
3,9,12Li,N ? ,NaN
3,10,13Li,NaN,NaN
4,1,5Be,P  ,NaN
4,2,6Be,P = 100.00,NaN
4,2,6Be,A = 100.00,NaN
4,3,7Be,EC = 100.00,NaN
4,4,8Be,A = 100.00,NaN
4,5,9Be,NaN,100.%
4,6,10Be,B- = 100.00,NaN
4,7,11Be,B- = 100.00,NaN
4,7,11Be,BA = 3.10,NaN
4,7,11Be,BN ? ,NaN
4,8,12Be,B- = 100.00,NaN
4,8,12Be,BN = 0.50,NaN
4,9,13Be,N  ,NaN
4,11,15Be,N = 100.00,NaN
4,12,16Be,N = 100.00,NaN
4,10,14Be,B- = 100.00,NaN
4,10,14Be,BN = 86.00,NaN
4,10,14Be,B2N = 5.00,NaN
4,10,14Be,B3N ? 0.00,NaN
4,10,14Be,BA ? ,NaN
5,12,17B,B- = 100.00,NaN
5,12,17B,BN = 63.00,NaN
5,12,17B,B2N = 12.00,NaN
5,12,17B,B3N = 3.50,NaN
5,12,17B,B4N = 0.40,NaN
