z,n,year
1,0,1918
2,0,1936
1,1,1932
2,1,1934
3,1,1965
1,2,1934
2,2,1908
3,2,1941
4,2,1958
5,2,1967
6,2,1974
7,2,2023
1,3,1981
2,3,1937
3,3,1921
4,3,1938
5,3,1950
6,3,1964
7,3,2002
8,3,2019
1,4,2001
2,4,1936
3,4,1921
4,4,1932
5,4,1940
6,4,1949
7,4,1974
8,4,1978
9,4,2021
1,5,1984
2,5,1967
3,5,1935
4,5,1921
5,5,1920
6,5,1934
7,5,1949
8,5,1965
9,5,2010
10,5,2014
1,6,2003
2,6,1965
3,6,1951
4,6,1935
5,6,1920
6,6,1919
7,6,1934
8,6,1949
9,6,1978
10,6,1977
11,6,2017
12,6,2021
2,7,1987
3,7,1975
4,7,1958
5,7,1935
6,7,1929
7,7,1920
8,7,1934
9,7,1964
10,7,1964
11,7,2004
12,7,2007
2,8,1994
3,8,1966
4,8,1966
5,8,1956
6,8,1936
7,8,1929
8,8,1918
9,8,1934
10,8,1954
11,8,1969
12,8,1974
13,8,2024
14,8,1987
3,9,2010
4,9,1983
5,9,1966
6,9,1950
7,9,1933
8,9,1925
9,9,1937
10,9,1939
11,9,1950
12,9,1965
13,9,1982
14,9,1986
3,10,2008
4,10,1973
5,10,1966
6,10,1961
7,10,1949
8,10,1929
9,10,1920
10,10,1913
11,10,1940
12,10,1961
13,10,1969
14,10,1979
4,11,2013
5,11,2000
6,11,1968
7,11,1964
8,11,1936
9,11,1935
10,11,1928
11,11,1935
12,11,1939
13,11,1953
14,11,1963
15,11,1983
16,11,1986
17,11,2018
18,11,2018
4,12,2012
5,12,1973
6,12,1969
7,12,1968
8,12,1959
9,12,1955
10,12,1913
11,12,1918
12,12,1920
13,12,1953
14,12,1960
15,12,1977
16,12,1982
17,12,2015
18,12,2015
19,12,2019
5,13,2010
6,13,1974
7,13,1969
8,13,1968
9,13,1965
10,13,1936
11,13,1934
12,13,1920
13,13,1934
14,13,1939
15,13,1953
16,13,1964
17,13,2018
18,13,1986
5,14,1984
6,14,1981
7,14,1970
8,14,1969
9,14,1970
10,14,1956
11,14,1943
12,14,1920
13,14,1922
14,14,1920
15,14,1941
16,14,1961
17,14,1977
18,14,1977
5,15,2018
7,15,1979
8,15,1970
9,15,1970
10,15,1970
11,15,1958
12,15,1934
13,15,1934
14,15,1920
15,15,1934
16,15,1940
17,15,1953
18,15,1964
19,15,2024
20,15,1985
5,16,2018
6,16,1986
7,16,1985
8,16,1970
9,16,1970
10,16,1970
11,16,1968
12,16,1953
13,16,1939
14,16,1924
15,16,1920
16,16,1920
17,16,1940
18,16,1966
19,16,1976
20,16,1977
21,16,2024
8,17,2008
9,17,1979
10,17,1977
11,17,1969
12,17,1971
13,17,1961
14,17,1934
15,17,1934
16,17,1926
17,17,1934
18,17,1940
19,17,1967
20,17,1964
21,17,2024
22,17,1990
8,18,2012
9,18,1981
10,18,1979
11,18,1969
12,18,1971
13,18,1971
14,18,1953
15,18,1951
16,18,1926
17,18,1919
18,18,1920
19,18,1958
20,18,1966
21,18,1988
22,18,1982
24,18,1996
8,19,2023
9,19,2012
10,19,1985
11,19,1969
12,19,1977
13,19,1971
14,19,1971
15,19,1945
16,19,1936
17,19,1941
18,19,1941
19,19,1937
20,19,1943
21,19,1955
22,19,1964
24,19,1992
26,19,1996
8,20,2023
9,20,1989
10,20,1985
11,20,1969
12,20,1977
13,20,1971
14,20,1971
15,20,1971
